,Title,Latitude,Longitude
48,"Green earthquake alert (Magnitude 5.2M, Depth:45.41km) in Japan 27/09/2020 04:13 UTC, 12650000 people within 100km.",35.0721,137.7091
49,"Green earthquake alert (Magnitude 5.6M, Depth:13.77km) in United States 27/09/2020 04:12 UTC, No people within 100km.",51.9341,-169.7665
50,"Green earthquake alert (Magnitude 4.7M, Depth:35.79km) in New Zealand 27/09/2020 03:47 UTC, 180000 people within 100km.",-39.1781,174.9069
51,"Green earthquake alert (Magnitude 4.7M, Depth:38.25km) in Peru 27/09/2020 02:50 UTC, 400000 people within 100km.",-10.9103,-74.6018
52,"Green earthquake alert (Magnitude 4.7M, Depth:8.22km) in Iceland 27/09/2020 00:06 UTC, About 700 people within 100km.",64.5223,-17.5738
53,"Green earthquake alert (Magnitude 4.9M, Depth:10km) in Solomon Islands 26/09/2020 23:53 UTC, 190000 people within 100km.",-9.8618,160.7755
54,"Green earthquake alert (Magnitude 5.3M, Depth:10.76km) in Greece 26/09/2020 22:50 UTC, 130000 people within 100km.",39.9957,24.3777
55,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Greece 26/09/2020 18:39 UTC, 170000 people within 100km.",40.0416,24.3685
56,"Green earthquake alert (Magnitude 6.1M, Depth:10km) in South Africa 26/09/2020 17:10 UTC, No people within 100km.",-48.0314,31.7636
57,"Green earthquake alert (Magnitude 4.5M, Depth:89.74km) in Japan 26/09/2020 15:36 UTC, 2060000 people within 100km.",40.4922,141.2912
58,"Green earthquake alert (Magnitude 4.7M, Depth:6.95km) in Turkmenistan 26/09/2020 07:00 UTC, 190000 people within 100km.",39.6205,54.5317
59,"Green earthquake alert (Magnitude 4.6M, Depth:51.4km) in Pakistan 26/09/2020 06:32 UTC, 7110000 people within 100km.",34.6597,74.2755
60,"Green earthquake alert (Magnitude 4.7M, Depth:15.87km) in Japan 26/09/2020 06:23 UTC, About 38000 people within 100km.",23.8236,123.3845
61,"Green earthquake alert (Magnitude 5.2M, Depth:10km) in Turkmenistan 26/09/2020 05:46 UTC, 420000 people within 100km.",38.2089,56.0558
62,"Green earthquake alert (Magnitude 4.8M, Depth:135.78km) in Northern Mariana Islands 26/09/2020 04:35 UTC, No people within 100km.",18.4569,145.9613
63,"Green earthquake alert (Magnitude 4.5M, Depth:108.52km) in Afghanistan 26/09/2020 04:04 UTC, 2190000 people within 100km.",36.0154,69.708
64,"Green earthquake alert (Magnitude 4.7M, Depth:241.98km) in Vanuatu 26/09/2020 03:22 UTC, About 35000 people within 100km.",-18.7388,169.3857
65,Volcanic eruption is on going for Etna in Italy,37.748,14.999
66,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Russian Federation 25/09/2020 21:41 UTC, No people within 100km.",49.184,158.442
67,Green alert for tropical cyclone LOWELL-20. Population affected by Category 1 (120 km/h) wind speeds or higher is 0.,21.6,-130.5
68,"Green earthquake alert (Magnitude 4.5M, Depth:163.07km) in Indonesia 25/09/2020 20:40 UTC, About 500 people within 100km.",-6.6079,129.8533
69,"Green earthquake alert (Magnitude 4.5M, Depth:39.18km) in China 25/09/2020 20:34 UTC, 9970000 people within 100km.",28.0608,105.1159
70,"Green earthquake alert (Magnitude 4.6M, Depth:36.03km) in Indonesia 25/09/2020 20:24 UTC, No people within 100km.",-10.6145,117.4915
71,"Green earthquake alert (Magnitude 4.6M, Depth:107.75km) in Indonesia 25/09/2020 19:28 UTC, 360000 people within 100km.",1.9633,127.3262
72,"Green earthquake alert (Magnitude 5.1M, Depth:118.83km) in Japan 25/09/2020 16:46 UTC, About 9000 people within 100km.",33.2092,139.8162
73,"Green earthquake alert (Magnitude 5.1M, Depth:10km) in India 25/09/2020 10:57 UTC, 230000 people within 100km.",34.2702,78.2069
74,"Green earthquake alert (Magnitude 4.5M, Depth:57.17km) in Philippines 25/09/2020 08:46 UTC, 910000 people within 100km.",7.7752,126.7683
75,"Green earthquake alert (Magnitude 4.9M, Depth:10km) in United States 25/09/2020 05:57 UTC, No people within 100km.",55.0499,-158.0177
76,"Green earthquake alert (Magnitude 5.3M, Depth:12.58km) in South Georgia and the South Sandwich Islands 25/09/2020 03:56 UTC, No people within 100km.",-57.1867,-40.7332
77,"Green earthquake alert (Magnitude 5.1M, Depth:35km) in South Georgia and the South Sandwich Islands 25/09/2020 03:56 UTC, No people within 100km.",-60.3006,-26.2767
78,"Green earthquake alert (Magnitude 5.1M, Depth:35km) in South Georgia and the South Sandwich Islands 25/09/2020 03:54 UTC, No people within 100km.",-60.3006,-26.2767
79,"Green earthquake alert (Magnitude 4.8M, Depth:184.05km) in Mariana Islands 25/09/2020 02:09 UTC, 160000 people within 100km.",13.9088,144.5932
80,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in Mexico 24/09/2020 23:06 UTC, About 17000 people within 100km.",27.0443,-111.29
